date,orgs,category,type,species,age,count
Jan-17,2465,gross intakes,stray/at large,dogs,adult,43668
Jan-17,2465,gross intakes,stray/at large,dogs,up to 5mo,9312
Jan-17,2465,gross intakes,stray/at large,dogs,unknown,9116
Jan-17,2465,gross intakes,relinquished by owner,dogs,adult,21980
Jan-17,2465,gross intakes,relinquished by owner,dogs,up to 5mo,6983
Jan-17,2465,gross intakes,relinquished by owner,dogs,unknown,3449
Jan-17,2465,gross intakes,transfer in from agency,dogs,adult,16909
Jan-17,2465,gross intakes,transfer in from agency,dogs,up to 5mo,9861
Jan-17,2465,gross intakes,transfer in from agency,dogs,unknown,2353
Jan-17,2465,gross intakes,other intakes,dogs,adult,5631
Jan-17,2465,gross intakes,other intakes,dogs,up to 5mo,1697
Jan-17,2465,gross intakes,other intakes,dogs,unknown,1195
Jan-17,2465,gross intakes,owner-intended euthanasia,dogs,adult,3701
Jan-17,2465,gross intakes,owner-intended euthanasia,dogs,up to 5mo,65
Jan-17,2465,gross intakes,owner-intended euthanasia,dogs,unknown,522
Jan-17,2465,gross intakes,stray/at large,cats,adult,21645
Jan-17,2465,gross intakes,stray/at large,cats,up to 5mo,8682
Jan-17,2465,gross intakes,stray/at large,cats,unknown,6798
Jan-17,2465,gross intakes,relinquished by owner,cats,adult,16410
Jan-17,2465,gross intakes,relinquished by owner,cats,up to 5mo,4607
Jan-17,2465,gross intakes,relinquished by owner,cats,unknown,2443
Jan-17,2465,gross intakes,transfer in from agency,cats,adult,7963
Jan-17,2465,gross intakes,transfer in from agency,cats,up to 5mo,3356
Jan-17,2465,gross intakes,transfer in from agency,cats,unknown,1026
Jan-17,2465,gross intakes,other intakes,cats,adult,3405
Jan-17,2465,gross intakes,other intakes,cats,up to 5mo,1055
Jan-17,2465,gross intakes,other intakes,cats,unknown,617
Jan-17,2465,gross intakes,owner-intended euthanasia,cats,adult,1608
Jan-17,2465,gross intakes,owner-intended euthanasia,cats,up to 5mo,61
Jan-17,2465,gross intakes,owner-intended euthanasia,cats,unknown,247
Jan-17,2465,gross live outcomes,adoption,dogs,adult,43792
Jan-17,2465,gross live outcomes,adoption,dogs,up to 5mo,15715
Jan-17,2465,gross live outcomes,adoption,dogs,unknown,5548
Jan-17,2465,gross live outcomes,return to owner,dogs,adult,17128
Jan-17,2465,gross live outcomes,return to owner,dogs,up to 5mo,765
Jan-17,2465,gross live outcomes,return to owner,dogs,unknown,3092
Jan-17,2465,gross live outcomes,transfer to another agency,dogs,adult,13933
Jan-17,2465,gross live outcomes,transfer to another agency,dogs,up to 5mo,6885
Jan-17,2465,gross live outcomes,transfer to another agency,dogs,unknown,3404
Jan-17,2465,gross live outcomes,return to field,dogs,adult,95
Jan-17,2465,gross live outcomes,return to field,dogs,up to 5mo,5
Jan-17,2465,gross live outcomes,return to field,dogs,unknown,1
Jan-17,2465,gross live outcomes,other live outcome,dogs,adult,920
Jan-17,2465,gross live outcomes,other live outcome,dogs,up to 5mo,284
Jan-17,2465,gross live outcomes,other live outcome,dogs,unknown,268
Jan-17,2465,gross live outcomes,adoption,cats,adult,32447
Jan-17,2465,gross live outcomes,adoption,cats,up to 5mo,18997
Jan-17,2465,gross live outcomes,adoption,cats,unknown,5067
Jan-17,2465,gross live outcomes,return to owner,cats,adult,1900
Jan-17,2465,gross live outcomes,return to owner,cats,up to 5mo,220
Jan-17,2465,gross live outcomes,return to owner,cats,unknown,352
Jan-17,2465,gross live outcomes,transfer to another agency,cats,adult,5595
Jan-17,2465,gross live outcomes,transfer to another agency,cats,up to 5mo,2318
Jan-17,2465,gross live outcomes,transfer to another agency,cats,unknown,1157
Jan-17,2465,gross live outcomes,return to field,cats,adult,4013
Jan-17,2465,gross live outcomes,return to field,cats,up to 5mo,508
Jan-17,2465,gross live outcomes,return to field,cats,unknown,1147
Jan-17,2465,gross live outcomes,other live outcome,cats,adult,776
Jan-17,2465,gross live outcomes,other live outcome,cats,up to 5mo,345
Jan-17,2465,gross live outcomes,other live outcome,cats,unknown,162
Jan-17,2465,other outcomes,died in care,dogs,adult,442
Jan-17,2465,other outcomes,died in care,dogs,up to 5mo,520
Jan-17,2465,other outcomes,died in care,dogs,unknown,133
